,softImpute,impDi,diff,file_name,Width_Height_Cut,Percent_of_cut_Image,Threshold_Correlation_DIMV
0,0.8725,0.8749,0.0023999999999999577,threshold_50_deletedWidthHeightPc_4040_noImagePc_50,4040,50,50
1,0.506,0.3741,-0.13190000000000002,threshold_50_deletedWidthHeightPc_8080_noImagePc_50,8080,50,50
2,0.743,0.8315,0.08850000000000002,threshold_50_deletedWidthHeightPc_6060_noImagePc_50,6060,50,50
3,0.8779,0.8776,-0.00029999999999996696,threshold_30_deletedWidthHeightPc_4040_noImagePc_20,4040,20,30
4,0.7216,0.4926,-0.22900000000000004,threshold_30_deletedWidthHeightPc_8080_noImagePc_20,8080,20,30
5,0.8369,0.8452,0.008299999999999974,threshold_30_deletedWidthHeightPc_6060_noImagePc_20,6060,20,30
6,0.8561,0.8767,0.020600000000000063,threshold_30_deletedWidthHeightPc_4040_noImagePc_50,4040,50,30
7,0.527,0.3895,-0.1375,threshold_30_deletedWidthHeightPc_8080_noImagePc_50,8080,50,30
8,0.7962,0.8217,0.025499999999999967,threshold_30_deletedWidthHeightPc_6060_noImagePc_50,6060,50,30
9,0.8787,0.8743,-0.0044000000000000705,threshold_50_deletedWidthHeightPc_4040_noImagePc_20,4040,20,50
10,0.7232,0.3426,-0.38059999999999994,threshold_50_deletedWidthHeightPc_8080_noImagePc_20,8080,20,50
11,0.8435,0.8305,-0.013000000000000012,threshold_50_deletedWidthHeightPc_6060_noImagePc_20,6060,20,50
